METHOD	TECHNOLOGY	COVERAGE	VARSIZE	AvgER	seER
abPOA	ONT	20	200	0.36420349387586143	0.018082449629137715
abPOA	ONT	20	500	0.426990084541256	0.024136524090840245
abPOA	ONT	20	1000	0.49475004851902643	0.028815774726921168
abPOA	ONT	30	50	0.12322873391008135	0.00511975557694121
abPOA	ONT	30	200	0.3026799891180132	0.0159378773834957
abPOA	ONT	30	500	0.39629017721926546	0.024293376631617587
abPOA	ONT	30	1000	0.441958042809609	0.02740416935889223
abPOA	ONT	60	50	0.11488985502417448	0.004952617289694391
abPOA	ONT	60	200	0.29959379790154855	0.016666202927792764
abPOA	ONT	60	500	0.388826419414948	0.02367135634482613
abPOA	ONT	60	1000	0.43649898878857163	0.02698716196588709
abPOA	PacBio HiFi	20	50	0.07729801502080762	0.00305469490570987
abPOA	PacBio HiFi	20	200	0.15319178896200739	0.009325156261512648
abPOA	PacBio HiFi	20	500	0.24742175836473299	0.018615223265664296
abPOA	PacBio HiFi	20	1000	0.23426935663043946	0.019722073197264083
abPOA	PacBio HiFi	30	50	0.06630082476138659	0.0026571071501105196
abPOA	PacBio HiFi	30	200	0.12530232098821642	0.00898807170286149
abPOA	PacBio HiFi	30	500	0.22215210583914236	0.01738504410551201
abPOA	PacBio HiFi	30	1000	0.2264570979539309	0.019156720233883016
abPOA	PacBio HiFi	60	50	0.06080961449342344	0.002232666236295956
abPOA	PacBio HiFi	60	200	0.11140601276562588	0.007693394165538932
abPOA	PacBio HiFi	60	500	0.2207030263833111	0.016538002752285917
abPOA	PacBio HiFi	60	1000	0.1974135061275625	0.017285570517882425
k-mer clust	ONT	20	50	0.5943153693051058	0.03059972728297548
k-mer clust	ONT	20	200	0.7305972257857467	0.03471346631380985
k-mer clust	ONT	20	500	0.9351917007857304	0.042190814225566975
k-mer clust	ONT	20	1000	0.953561924556685	0.04577547666623413
k-mer clust	ONT	30	50	0.6558719330387298	0.027923167797532785
k-mer clust	ONT	30	200	0.7746131512532075	0.03332163628523733
k-mer clust	ONT	30	500	1.0007453611861623	0.04366576155105487
k-mer clust	ONT	30	1000	1.0411089318326194	0.050740190733909715
k-mer clust	ONT	60	50	0.600794698282828	0.023646873629341193
k-mer clust	ONT	60	200	0.6620113604483059	0.024077587261125362
k-mer clust	ONT	60	500	1.0290743897967736	0.04364849437626086
k-mer clust	ONT	60	1000	1.013366000924011	0.054243506384204346
k-mer clust	PacBio HiFi	20	50	0.2009949679440637	0.022250411091699732
k-mer clust	PacBio HiFi	20	200	0.3466966804031347	0.02863503728190174
k-mer clust	PacBio HiFi	20	500	0.7511189696318477	0.042140722340492764
k-mer clust	PacBio HiFi	20	1000	0.7356613176084167	0.04287728121734611
k-mer clust	PacBio HiFi	30	50	0.28430961330600185	0.027964756391173108
k-mer clust	PacBio HiFi	30	200	0.47934433129090176	0.03580517240915605
k-mer clust	PacBio HiFi	30	500	0.7768963177933617	0.045072084524454256
k-mer clust	PacBio HiFi	30	1000	0.7789195116789839	0.04469886625114265
k-mer clust	PacBio HiFi	60	50	0.553604214402215	0.04062007414488157
k-mer clust	PacBio HiFi	60	200	0.705382582138112	0.04380964128962277
k-mer clust	PacBio HiFi	60	500	0.7627688714593716	0.04257974579319333
k-mer clust	PacBio HiFi	60	1000	0.8895157080480275	0.04918915020027729
